code,name,category,subCategory,type,grade,agency,description
0200,전기기술사,전기전자,전기,국가기술자격,기술사,한국산업인력공단,전기설비 설계 최고급 기술인력
0210,전기공사기사,전기전자,전기공사,국가기술자격,기사,한국산업인력공단,전기공사 설계 및 시공관리
0211,전기공사산업기사,전기전자,전기공사,국가기술자격,산업기사,한국산업인력공단,전기공사 시공 및 관리 실무
0220,전자기사,전기전자,전자,국가기술자격,기사,한국산업인력공단,전자기기 설계 및 개발
0221,전자산업기사,전기전자,전자,국가기술자격,산업기사,한국산업인력공단,전자기기 개발 및 생산 실무
0222,전자기기기능사,전기전자,전자,국가기술자격,기능사,한국산업인력공단,전자기기 조립 및 수리
0071,공조냉동기계기술사,기계,공조냉동,국가기술자격,기술사,한국산업인력공단,공조냉동기계 설계 최고급 기술인력
0072,공조냉동기계기사,기계,공조냉동,국가기술자격,기사,한국산업인력공단,공조냉동기계 설계 및 시공
0073,공조냉동기계산업기사,기계,공조냉동,국가기술자격,산업기사,한국산업인력공단,공조냉동기계 시공 및 관리 실무
0060,일반기계기사,기계,일반기계,국가기술자격,기사,한국산업인력공단,기계설비 설계 및 생산관리
0061,기계설계기사,기계,기계설계,국가기술자격,기사,한국산업인력공단,기계부품 및 장치 설계
0062,기계설계산업기사,기계,기계설계,국가기술자격,산업기사,한국산업인력공단,기계부품 및 장치 설계 실무
0050,용접기사,기계,용접,국가기술자격,기사,한국산업인력공단,용접기술 관리 및 품질검사
0051,용접산업기사,기계,용접,국가기술자격,산업기사,한국산업인력공단,용접기술 관리 실무
0052,용접기능사,기계,용접,국가기술자격,기능사,한국산업인력공단,용접 작업 실무
0040,금형기술사,기계,금형,국가기술자격,기술사,한국산업인력공단,금형 설계 최고급 기술인력
0041,사출금형기사,기계,금형,국가기술자격,기사,한국산업인력공단,사출금형 설계 및 제작
0042,사출금형산업기사,기계,금형,국가기술자격,산업기사,한국산업인력공단,사출금형 제작 실무
0030,자동차정비기사,기계,자동차,국가기술자격,기사,한국산업인력공단,자동차 정비 및 검사
0031,자동차정비산업기사,기계,자동차,국가기술자격,산업기사,한국산업인력공단,자동차 정비 실무
0032,자동차정비기능사,기계,자동차,국가기술자격,기능사,한국산업인력공단,자동차 정비 기초
0033,자동차검사기사,기계,자동차,국가기술자격,기사,한국산업인력공단,자동차 검사 및 진단
0034,자동차검사산업기사,기계,자동차,국가기술자격,산업기사,한국산업인력공단,자동차 검사 실무
0300,화학분석기사,화학,화학분석,국가기술자격,기사,한국산업인력공단,화학물질 분석 및 품질관리
0301,화학분석기능사,화학,화학분석,국가기술자격,기능사,한국산업인력공단,화학물질 분석 실무
0310,화공기사,화학,화공,국가기술자격,기사,한국산업인력공단,화학공정 설계 및 관리
0311,화공산업기사,화학,화공,국가기술자격,산업기사,한국산업인력공단,화학공정 관리 실무
0320,위험물산업기사,화학,위험물,국가기술자격,산업기사,한국산업인력공단,위험물 취급 및 안전관리
0400,대기환경기사,환경,대기,국가기술자격,기사,한국산업인력공단,대기오염 방지 및 관리
0401,대기환경산업기사,환경,대기,국가기술자격,산업기사,한국산업인력공단,대기오염 방지 실무
0410,수질환경기사,환경,수질,국가기술자격,기사,한국산업인력공단,수질오염 방지 및 관리
0411,수질환경산업기사,환경,수질,국가기술자격,산업기사,한국산업인력공단,수질오염 방지 실무
0420,폐기물처리기사,환경,폐기물,국가기술자격,기사,한국산업인력공단,폐기물 처리 및 관리
0421,폐기물처리산업기사,환경,폐기물,국가기술자격,산업기사,한국산업인력공단,폐기물 처리 실무
0422,폐기물처리기능사,환경,폐기물,국가기술자격,기능사,한국산업인력공단,폐기물 처리 기초
0430,소음진동기사,환경,소음진동,국가기술자격,기사,한국산업인력공단,소음진동 관리 및 방지
0431,소음진동산업기사,환경,소음진동,국가기술자격,산업기사,한국산업인력공단,소음진동 관리 실무
0440,환경기능사,환경,환경,국가기술자격,기능사,한국산업인력공단,환경오염 방지 기초
7000,한식조리기능사,서비스,조리,국가기술자격,기능사,한국산업인력공단,한식 조리 실무
7001,양식조리기능사,서비스,조리,국가기술자격,기능사,한국산업인력공단,양식 조리 실무
7002,중식조리기능사,서비스,조리,국가기술자격,기능사,한국산업인력공단,중식 조리 실무
7003,일식조리기능사,서비스,조리,국가기술자격,기능사,한국산업인력공단,일식 조리 실무
7004,복어조리기능사,서비스,조리,국가기술자격,기능사,한국산업인력공단,복어 조리 실무
7010,조리산업기사,서비스,조리,국가기술자격,산업기사,한국산업인력공단,조리 관리 및 메뉴개발
7020,제과기능사,서비스,제과제빵,국가기술자격,기능사,한국산업인력공단,제과 실무
7021,제빵기능사,서비스,제과제빵,국가기술자격,기능사,한국산업인력공단,제빵 실무
7030,바리스타2급,서비스,커피,민간자격,2급,한국커피협회,커피 추출 및 서비스 기초
7031,바리스타1급,서비스,커피,민간자격,1급,한국커피협회,커피 추출 및 서비스 전문
7100,미용사(일반),서비스,미용,국가기술자격,기능사,한국산업인력공단,헤어 커트 및 스타일링
7101,미용사(피부),서비스,미용,국가기술자격,기능사,한국산업인력공단,피부관리 및 에스테틱
7102,미용사(네일),서비스,미용,국가기술자격,기능사,한국산업인력공단,네일아트 및 네일케어
7103,미용사(메이크업),서비스,미용,국가기술자격,기능사,한국산업인력공단,메이크업 및 분장
7200,사회복지사1급,복지,사회복지,국가전문자격,1급,한국산업인력공단,사회복지 상담 및 프로그램 운영
7201,사회복지사2급,복지,사회복지,국가전문자격,2급,각 대학교,사회복지 실무
7210,청소년지도사2급,복지,청소년,국가전문자격,2급,한국산업인력공단,청소년 지도 및 상담
7211,청소년지도사3급,복지,청소년,국가전문자격,3급,한국산업인력공단,청소년 지도 기초
7220,청소년상담사2급,복지,청소년,국가전문자격,2급,한국산업인력공단,청소년 상담 및 지원
7221,청소년상담사3급,복지,청소년,국가전문자격,3급,한국산업인력공단,청소년 상담 기초
7300,물류관리사,유통물류,물류,국가전문자격,단일등급,한국산업인력공단,물류관리 및 운영
7310,유통관리사1급,유통물류,유통,국가전문자격,1급,대한상공회의소,유통관리 전문
7311,유통관리사2급,유통물류,유통,국가전문자격,2급,대한상공회의소,유통관리 실무
7312,유통관리사3급,유통물류,유통,국가전문자격,3급,대한상공회의소,유통관리 기초
7400,지게차운전기능사,운전,중장비,국가기술자격,기능사,한국산업인력공단,지게차 운전 및 조작
7401,굴삭기운전기능사,운전,중장비,국가기술자격,기능사,한국산업인력공단,굴삭기 운전 및 조작
7402,기중기운전기능사,운전,중장비,국가기술자격,기능사,한국산업인력공단,기중기 운전 및 조작
7403,불도저운전기능사,운전,중장비,국가기술자격,기능사,한국산업인력공단,불도저 운전 및 조작
7404,로더운전기능사,운전,중장비,국가기술자격,기능사,한국산업인력공단,로더 운전 및 조작
7405,롤러운전기능사,운전,중장비,국가기술자격,기능사,한국산업인력공단,롤러 운전 및 조작
7406,천공기운전기능사,운전,중장비,국가기술자격,기능사,한국산업인력공단,천공기 운전 및 조작
7407,타워크레인운전기능사,운전,중장비,국가기술자격,기능사,한국산업인력공단,타워크레인 운전 및 조작
7500,간호조무사,보건의료,간호,국가자격,단일등급,각 시도지사,간호보조 업무
7501,요양보호사,보건의료,요양,국가자격,단일등급,각 시도지사,노인 장애인 요양보호
7510,위생사,보건의료,위생,국가기술자격,단일등급,한국산업인력공단,공중위생 관리
7520,임상병리사,보건의료,임상,국가전문자격,단일등급,한국보건의료인국가시험원,임상검사 업무
7521,방사선사,보건의료,방사선,국가전문자격,단일등급,한국보건의료인국가시험원,방사선 촬영 및 치료
7522,물리치료사,보건의료,재활,국가전문자격,단일등급,한국보건의료인국가시험원,물리치료 업무
7523,작업치료사,보건의료,재활,국가전문자격,단일등급,한국보건의료인국가시험원,작업치료 업무
7524,치과위생사,보건의료,치과,국가전문자격,단일등급,한국보건의료인국가시험원,치과위생 업무
7525,치과기공사,보건의료,치과,국가전문자격,단일등급,한국보건의료인국가시험원,치과기공 업무
7600,공인중개사,부동산,중개,국가전문자격,단일등급,한국산업인력공단,부동산 중개 업무
7610,주택관리사,부동산,관리,국가전문자격,단일등급,한국산업인력공단,공동주택 관리 업무
7700,손해평가사,금융보험,평가,국가전문자격,단일등급,한국산업인력공단,농작물 재해손해 평가
7710,손해사정사,금융보험,평가,국가전문자격,단일등급,금융감독원,보험손해 사정
7800,관광통역안내사,관광,통역,국가전문자격,단일등급,한국산업인력공단,외국어 관광안내
7801,국내여행안내사,관광,안내,국가전문자격,단일등급,한국산업인력공단,국내 관광안내
7802,호텔관리사,관광,호텔,국가전문자격,단일등급,한국산업인력공단,호텔 서비스 관리
7803,호텔경영사,관광,호텔,국가전문자격,단일등급,한국산업인력공단,호텔 경영관리
7900,텔레마케팅관리사,사무,마케팅,국가기술자격,단일등급,한국산업인력공단,전화상담 및 마케팅 관리
7901,비서1급,사무,비서,국가기술자격,1급,대한상공회의소,비서 업무 전문
7902,비서2급,사무,비서,국가기술자격,2급,대한상공회의소,비서 업무 실무
7903,비서3급,사무,비서,국가기술자격,3급,대한상공회의소,비서 업무 기초
8000,산업위생관리기사,보건,산업위생,국가기술자격,기사,한국산업인력공단,작업환경 측정 및 관리
8001,산업위생관리산업기사,보건,산업위생,국가기술자격,산업기사,한국산업인력공단,작업환경 측정 실무
8002,인간공학기사,보건,인간공학,국가기술자격,기사,한국산업인력공단,인간공학 설계 및 평가
8010,품질경영기사,경영,품질,국가기술자격,기사,한국산업인력공단,품질관리 및 품질경영
8011,품질경영산업기사,경영,품질,국가기술자격,산업기사,한국산업인력공단,품질관리 실무
8020,생산자동화기사,기계,자동화,국가기술자격,기사,한국산업인력공단,생산자동화 시스템 설계
8021,생산자동화산업기사,기계,자동화,국가기술자격,산업기사,한국산업인력공단,생산자동화 시스템 관리
8030,반도체설계기사,전기전자,반도체,국가기술자격,기사,한국산업인력공단,반도체 회로 설계
8031,반도체설계산업기사,전기전자,반도체,국가기술자격,산업기사,한국산업인력공단,반도체 회로 설계 실무
8040,임베디드기사,정보통신,임베디드,국가기술자격,기사,한국산업인력공단,임베디드 시스템 설계 및 개발
9000,TOEIC,어학,영어,민간자격,점수제,ETS,영어 듣기 읽기 능력 평가
9001,TOEFL,어학,영어,민간자격,점수제,ETS,영어 통합 능력 평가
9002,IELTS,어학,영어,민간자격,점수제,British Council,영어 통합 능력 평가
9010,JLPT N1,어학,일본어,민간자격,N1,일본국제교류기금,일본어 최고급 수준
9011,JLPT N2,어학,일본어,민간자격,N2,일본국제교류기금,일본어 고급 수준
9012,JLPT N3,어학,일본어,민간자격,N3,일본국제교류기금,일본어 중급 수준
9020,HSK 6급,어학,중국어,민간자격,6급,한반,중국어 최고급 수준
9021,HSK 5급,어학,중국어,민간자격,5급,한반,중국어 고급 수준
9022,HSK 4급,어학,중국어,민간자격,4급,한반,중국어 중급 수준
9100,ERP정보관리사1급,정보통신,ERP,국가공인민간자격,1급,한국생산성본부,ERP 시스템 활용 전문
9101,ERP정보관리사2급,정보통신,ERP,국가공인민간자격,2급,한국생산성본부,ERP 시스템 활용 실무
9110,GTQ1급,디자인,그래픽,국가공인민간자격,1급,한국생산성본부,포토샵 활용 전문
9111,GTQ2급,디자인,그래픽,국가공인민간자격,2급,한국생산성본부,포토샵 활용 실무
9120,웹디자인기능사,디자인,웹디자인,국가기술자격,기능사,한국산업인력공단,웹페이지 디자인 및 제작
9121,컬러리스트기사,디자인,색채,국가기술자격,기사,한국산업인력공단,색채 디자인 및 기획
9122,컬러리스트산업기사,디자인,색채,국가기술자격,산업기사,한국산업인력공단,색채 디자인 실무
9130,시각디자인기사,디자인,시각디자인,국가기술자격,기사,한국산업인력공단,시각디자인 기획 및 제작
9131,시각디자인산업기사,디자인,시각디자인,국가기술자격,산업기사,한국산업인력공단,시각디자인 제작 실무
9140,제품디자인기사,디자인,제품디자인,국가기술자격,기사,한국산업인력공단,제품디자인 기획 및 개발
9141,제품디자인산업기사,디자인,제품디자인,국가기술자격,산업기사,한국산업인력공단,제품디자인 개발 실무
9150,MOS Master,정보통신,오피스,국제자격,마스터,Microsoft,MS Office 마스터 수준
9151,MOS Expert,정보통신,오피스,국제자격,전문가,Microsoft,MS Office 전문가 수준
9160,PMP,경영,프로젝트관리,국제자격,전문가,PMI,프로젝트 관리 전문가
9170,CFA,금융,투자분석,국제자격,전문가,CFA Institute,국제공인재무분석사
9171,FRM,금융,리스크관리,국제자격,전문가,GARP,국제공인재무위험관리사
9180,CPA,경영,회계,국가전문자격,전문가,금융감독원,공인회계사
9181,세무사,경영,세무,국가전문자격,전문가,국세청,세무대리 전문가
9182,관세사,경영,관세,국가전문자격,전문가,관세청,관세 업무 전문가
9183,감정평가사,경영,감정,국가전문자격,전문가,국토교통부,부동산 자산 감정평가
9184,법무사,법률,법무,국가전문자격,전문가,대법원,법률서류 작성
9185,변리사,법률,지식재산,국가전문자격,전문가,특허청,특허 상표 출원대리
9186,노무사,경영,노무,국가전문자격,전문가,고용노동부,노동관계 법무
9187,행정사,행정,행정,국가전문자격,전문가,행정안전부,행정업무 대행
9188,경영지도사,경영,컨설팅,국가전문자격,전문가,중소벤처기업부,경영컨설팅
9189,기술지도사,기술,컨설팅,국가전문자격,전문가,중소벤처기업부,기술컨설팅
